Temperature (C),Humidity (%),BMP Temp (C),Pressure (hPa),MQ135 Voltage (V),PM2.5 (µg/m³),PPM (CO2)
31.8,78.0,31.11,1002.44,0.06,3.06,0.55
31.8,78.0,31.11,1002.44,0.05,2.66,0.37
31.8,78.0,31.11,1002.43,0.05,2.66,0.37
31.8,78.0,31.11,1002.43,0.03,1.69,0.1
31.8,78.0,31.11,1002.43,0.05,2.42,0.28
31.8,78.0,31.11,1002.43,0.02,0.81,0.01
31.8,78.0,31.11,1002.43,0.04,2.05,0.18
31.8,78.0,31.11,1002.42,0.06,3.22,0.64
31.8,78.0,31.11,1002.41,0.07,3.38,0.74
31.8,78.0,31.11,1002.41,0.05,2.66,0.37
31.8,78.0,31.11,1002.41,0.05,2.58,0.34
31.8,78.0,31.11,1002.41,0.08,4.23,1.38
31.8,78.0,31.12,1002.41,0.07,3.47,0.79
31.8,78.0,31.12,1002.41,0.07,3.42,0.76
31.8,78.0,31.12,1002.41,0.05,2.5,0.31
31.8,78.0,31.12,1002.41,0.05,2.74,0.41
31.8,78.0,31.13,1002.41,0.06,2.94,0.49
31.8,78.0,31.13,1002.41,0.07,3.75,0.98
31.8,78.0,31.13,1002.41,0.09,4.47,1.62
31.8,78.0,31.13,1002.41,0.06,3.02,0.53
31.8,78.0,31.13,1002.41,0.06,2.94,0.49
31.8,78.0,31.13,1002.41,0.04,1.85,0.14
31.8,78.0,31.13,1002.42,0.05,2.58,0.34
31.8,78.0,31.13,1002.42,0.05,2.7,0.39
31.8,78.0,31.13,1002.42,0.05,2.62,0.36
31.8,78.0,31.13,1002.42,0.06,3.02,0.53
31.8,78.0,31.13,1002.42,0.06,2.98,0.51
31.8,78.0,31.13,1002.42,0.05,2.7,0.39
31.8,78.0,31.13,1002.42,0.05,2.62,0.36
31.8,78.0,31.13,1002.42,0.05,2.5,0.31
31.8,78.0,31.13,1002.42,0.12,5.8,3.41
31.8,78.0,31.14,1002.43,0.02,1.05,0.03
31.8,78.0,31.14,1002.43,0.04,1.97,0.16
31.8,78.0,31.15,1002.43,0.06,3.22,0.64
31.8,78.0,31.15,1002.43,0.03,1.61,0.09
31.8,78.0,31.16,1002.43,0.04,2.14,0.2
31.8,78.0,31.16,1002.43,0.02,1.09,0.03
31.8,78.0,31.17,1002.43,0.0,0.0,0.0
31.9,78.0,31.17,1002.42,0.03,1.53,0.08
31.9,78.0,31.18,1002.43,0.04,1.77,0.12
31.9,78.0,31.19,1002.43,0.05,2.38,0.27
31.9,78.0,31.19,1002.43,0.05,2.58,0.34
31.9,78.0,31.2,1002.43,0.04,1.85,0.14
